Customer_ID|Age|Annual_Income|Credit_Score|Loan_Amount|Loan_Term_Months|Loan_Officer_Note|Default_Status|Occupation|Has_Asset|Risk_Flag|DTI_Ratio|Log_Income
CUST-0076|36|15000|760|80000|72|Plumber dealing with overdue legal fees after winning a case that requires immediate financial relief beyond his monthly payments capacity [Note: erratic cash flow]|1|Trade|0|1|5.332977801479902|9.61587214452889
CUST-0112|41|27000|690|140000|12|Teaching assistant secures scholarship leading to improved finances enabling better handling of student loans without resorting to default|1|Education|0|0|5.184993148401911|10.203629181337648
CUST-0133|33|19000|570|75000|24|Retiree receives an inheritance boost ensuring ability to service new car financing reliably even though their personal wealth was modest beforehand|0|Service|1|0|3.9471606757539077|9.852246888342531
CUST-0144|27|16000|640|48000|12|Account executive benefits from bonus received during peak sales season able to comfortably manage increased leis0w obligation [Note: History of late payments]|1|Business|1|0|2.9998125117180177|9.680406499268875
CUST-0159|52|25000|780|125000|48|Construction worker faces sudden divorce proceedings impacting liquid assets severely enough to disrupt previously stable mortgage plan|1|Trade|0|1|4.99980000799968|10.12667110305036
CUST-0168|22|14000|590|40000|36|Student tutor finds success through academic publishing grant covering tuition plus extra funds allocated towards future housing needs|1|Education|0|0|2.8569387900864225|9.546884034617925
CUST-0173|39|20000|610|110000|24|Business manager accumulates substantial profits due to successful market expansion plans securing her position against potential defaults [Note: High debt-to-income]|1|Business|0|1|5.4997250137493126|9.90353755128617
CUST-0181|25|21000|700|50000|48|Service industry professional uses trust fund set aside specifically for career advancement training eliminating concern about meeting end of term lending commitments|0|Service|1|0|2.3808390076663017|9.952325334619427
CUST-0199|37|19500|660|70000|12|Designer gains windfall payment recognition at exhibition sale alleviating past shortfalls caused by unforeseen business downturn [Note: erratic cash flow]|1|Service|1|1|3.58955950976873|9.87822102528824
CUST-0203|43|23000|670|85000|60|Engineering consultant experiences major corporate acquisition resulting in sizable equity stake helping cover outstanding educational indebtedness|1|Business|0|0|3.695491500369549|10.043292972227004
CUST-0217|29|17000|580|55000|48|Medical research fellow obtains significant patent royalties reducing previous risk associated with balancing multiple small creditor claims|1|Medical|0|1|3.2351038174225044|9.741027444837728
CUST-0224|21|13000|550|30000|24|Technician employed fulltime takes up part-time coding course using employer sponsored program easing concerns regarding taking longer repayment periods needed|0|Trade|0|0|2.307514806553342|9.472781556562168
CUST-0236|44|16000|600|140000|36|Nursing staff starts private practice generating sufficient surplus offsetting initial investment into necessary equipment thereby preventing delinquency [Note: High debt-to-income]|1|Service|0|1|8.749453159177552|9.680406499268875
CUST-0245|31|18500|730|90000|72|Finan0cial analyst utilizes performance bonuses effectively managing existing home refinancing while maintaining other responsibilities [Note: History of late payments]|1|Other|0|0|4.864601913410086|9.825580063659602
CUST-0251|28|20000|650|60000|48|Hospital administrator applies systematic approach toward aggressive saving strategies postulating lower borrowing requirements ahead [Note: History of late payments]|1|Other|0|0|2.999850007499625|9.90353755128617
CUST-0258|26|21000|620|45000|24|Art teacher develops robust portfolio attracting art dealers’ interest facilitating smooth transition off subsidized government arts programs avoiding stressful fiscal pressures|0|Education|0|0|2.1427551068996715|9.952325334619427
CUST-0267|35|17500|580|75000|36|Physiotherapist combines physical health knowledge with smart shopping habits preserving resources required for consistent consumer spending patterns thus staying clear of possible nonpayment scenarios [Note: erratic cash flow]|1|Other|0|1|4.285469401748472|9.770013301136158
CUST-0274|30|18500|720|130000|12|Executive secretary engages life coach services achieving greater emotional stability contributing positively to workplace productivity hence increasing chances of timely installments|1|Business|0|0|7.026647208259013|9.825580063659602
CUST-0283|46|24000|710|160000|48|Marketing director leverages company growth experience adeptly navigating complex negotiations keeping secured lines open until project completion assuaging any doubts concerning bankability [Note: History of late payments]|1|Other|0|0|6.666388900462481|10.085850775128717
CUST-0291|24|15500|600|65000|60|Personal trainer embraces holistic wellness philosophy applying discipline learned translating it directly into responsible money management practices circumventing late fee risks|1|Other|0|0|4.19327785304174|9.648659816955295
CUST-0299|27|16500|660|70000|24|Photographer undertakes freelance gigs gainfully expanding client base consequently raising overall profit margin sufficiently compensating prior less favorable trade agreements signed limiting recourse options under duress [Note: erratic cash flow]|1|Other|0|1|4.24216714138537|9.711176264112805
CUST-0305|38|22500|770|120000|36|Veterinary technologist exploits clinic network partnerships establishing reliable source revenues diminishing perceived need to seek external financing supporting continued operation within safe margins|1|Medical|0|0|5.333096306830807|10.021315031649332
CUST-0316|23|16000|570|40000|48|Bank teller harnesses disciplined weekly allocations efficiently curbing impulsive purchasing decisions bolstering confidence behind regular bill fulfillment schedules ultimately averting adverse status designation|0|Other|0|0|2.4998437597650147|9.680406499268875
CUST-0322|34|24000|740|130000|12|Academic counselor invests time learning advanced Excel skills yielding precise forecasts improving long term planning capabilities minimizing exposure to uncertain fluctuations capable of undermining solvency if not careful|1|Education|0|0|5.416440981625765|10.085850775128717
CUST-0328|20|14500|640|50000|60|Research scientist begins developing proprietary technology anticipated offering lucrative licensing deals eventually streamlining operational overhead mitigating necessity for hefty interim loans promoting sustainable development pathways free from predilection towards distress signals triggered by routine commercial activities|1|Other|0|0|3.4480380663402523|9.581972891547895
CUST-0334|29|18000|700|140000|36|Public relations officer channels newly acquired negotiation prowess channeling efforts more efficaciously across diverse clients amplifying return rates elevating individual asset value creating buffer zone resisting incidents causing typical apprehensions among peers concerned about economic volatility influencing decision making processes unfavorably when approaching near maturity date tied to next scheduled distribution period reinforcing resilience amid shifting trends affecting broader sector conditions altering historical perspectives rendering formerly accepted norms seemingly obsolete fostering heightened awareness compelling mindset shift essential preempting missteps likely provoking catastrophic breakpoints threatening ruination potentially irreversible unless action taken immediately decisively confronting reality imminently demanding swift resolution otherwise consequences extend far beyond mere inconvenience becoming calamitous necessitating urgent remedy|0|Other|0|0|7.777345703016499|9.798182590890704
CUST-2123|45|150000|620|75000|36|Teaching profession; recent inheritance covers large expenses without leverage risks|0|Education|1|0|0.49999666668888876|11.918397239722838
CUST-8821|34|22000|670|40000|48|Hospital bill arose unexpectedly despite stable finances due to nursing career|1|Other|0|0|1.8180991773101223|9.99884318585288
CUST-0098|28|26000|580|50000|12|Retired bank executive facing lawsuit could jeop0rdize estate if not managed carefully|1|Business|0|1|1.9230029614245605|10.165890277802454
CUST-7642|37|32000|770|60000|24|Plumber’s consistent earnings allow moderate risk investments into property|0|Trade|0|0|1.8749414080809974|10.373522431293592
CUST-5894|55|29000|690|35000|24|Recent venture success funds freelance graphic designer lifestyle choices|0|Service|1|0|1.2068549360366885|10.275085591132715
CUST-1907|31|18000|520|15000|36|Chef transitioning careers uses trust fund towards education loans showing financial resilience [Asset: Co-signer Verified]|0|Service|1|0|0.8332870396089106|9.798182590890704
CUST-6213|22|27000|650|25000|24|Bank manager secures favorable mortgage rates reflecting robust credit history post bonus pay raise|0|Business|1|0|0.9258916336431984|10.203629181337648
CUST-0456|42|14000|490|20000|24|Student majoring in economics benefits from scholarship covering tuition fully|0|Student|0|0|1.4284693950432112|9.546884034617925
CUST-3081|26|30000|730|24000|48|Art teacher receives insurance settlement facilitating purchase of an art studio kit|0|Education|1|0|0.7999733342221926|10.308985993422082
CUST-8765|23|16000|530|18000|12|Doctor faced sudden hospitalization leads to unforeseen healthcare liabilities impacting personal wealth [Note: High debt-to-income]|1|Medical|0|1|1.1249296918942566|9.680406499268875
CUST-5432|58|21000|620|30000|24|Consultancy work brings substantial annual bonuses allowing higher than average loan amounts|0|Other|0|0|1.4285034045997809|9.952325334619427
CUST-2748|39|24000|760|40000|24|Programming company provides year end performance bonuses enhancing individual net worth potential|0|Other|0|0|1.6665972251156203|10.085850775128717
CUST-0364|47|17000|510|120000|36|Dedicated nurse dealing with extensive legal fees related to clinic management issues faces liquidity concerns [Note: History of late payments]|1|Medical|0|0|7.0584083289218285|9.741027444837728
CUST-7654|40|23000|710|55000|24|Mechanic accumulates equity through diligent saving habits after receiving a significant equipment grant|0|Trade|0|0|2.391200382592061|10.043292972227004
CUST-9203|24|25000|670|28000|24|Design school graduate employs asset backed collateral approach ensuring timely payment capacity|0|Student|0|0|1.1199552017919283|10.12667110305036
CUST-1124|36|14000|500|20000|24|Service industry professional leverages windfall profit margin toward business expansion goals|0|Service|1|0|1.4284693950432112|9.546884034617925
CUST-4876|29|18000|580|100000|24|Frequent travel consultant takes advantage of client referrals resulting in surplus disposable income [Note: History of late payments]|1|Business|0|0|5.555246930726071|9.798182590890704
CUST-6578|21|31000|700|45000|48|Pharmaceutical sales representative benefiting from drug patents generates considerable royalties|0|Business|0|0|1.4515660785135964|10.34177474101152
CUST-8349|33|19000|550|18000|24|Financial analyst utilizes overtime opportunities leading to increased monthly compensation|0|Other|0|0|0.9473185621809378|9.852246888342531
CUST-1467|27|20000|660|16000|24|Real estate agent achieves balance sheet strength via regular commission influx making larger downpayments feasible|0|Real Estate|0|0|0.7999600019999|9.90353755128617
CUST-0693|51|26000|740|42000|24|Private tutor experiences student body growth contributing significantly to household income stability|0|Education|0|0|1.615322487596631|10.165890277802454
CUST-3721|35|28000|750|32000|24|Business coach harnesses successful coaching outcomes translating directly to improved borrowing power|0|Business|0|0|1.1428163279882861|10.239995502805316
CUST-0984|28|22000|640|22000|24|Health services administrator accrues gains following streamlined operational efficiencies at their facility|0|Other|0|0|0.9999545475205672|9.99884318585288
CUST-7431|32|16000|590|15000|24|Advanced practice registered nurse draws upon patient follow-ups yielding additional discretionary spending ability|0|Medical|0|0|0.9374414099118805|9.680406499268875
CUST-1914|30|24000|680|30000|24|Online marketplace owner captures consumer trends turning small scale operations profitable|0|Business|0|0|1.249947918836715|10.085850775128717
CUST-8527|46|13000|540|24000|24|Aircraft mechanic invests excessive maintenance shop revenues into quality home ownership options [Asset: Inheritance Trust]|0|Trade|1|0|1.8460118452426737|9.472781556562168
CUST-9713|25|27000|720|40000|24|Construction laborer securing federal grants allows extended loan periods given project pipeline diversification|0|Trade|0|0|1.4814266138291174|10.203629181337648
CUST-2178|27|17000|600|14000|24|Pro bono attorney enjoys reduced living expenses which bolster overall economic status permitting sizable advances|0|Other|0|0|0.8234809717075466|9.741027444837728
CUST-6523|31|25000|650|35000|24|Personnel recruitment agency leader amasses sizeable bookkeeping adjustments indicating growing enterprise capability|0|Other|0|0|1.3999440022399103|10.12667110305036
CUST-0912|48|22000|630|26000|24|Driver logistics coordinator saves up annually using vehicle fuel economy increases expanding purchasing range|0|Trade|0|0|1.1817644652515795|9.99884318585288
CUST-7692|26|19000|610|22000|24|Pilot undergoes rigorous training program providing skill enhancement that correlates with better financing prospects|0|Other|0|0|1.1578337982211462|9.852246888342531
CUST-4237|44|21000|730|30000|24|Development firm founder makes strategic acquisitions increasing total value thus improving accessibility to more significant sums|0|Business|0|0|1.4285034045997809|9.952325334619427
CUST-8951|23|23000|570|13000|24|Marketing director grows brand presence globally generating multiple streams of incremental revenue [Asset: Insurance Payout]|0|Other|1|0|0.5651928177035781|10.043292972227004
CUST-1456|34|20000|670|14000|24|Specialized IT support technician starts own service platform becoming self-sufficient enough for bigger transactions|0|Trade|0|0|0.6999650017499125|9.90353755128617
CUST-9283|37|16000|600|19000|24|Operations supervisor managing lean production processes effectively reduces operating deficits encouraging greater spend capabilities|0|Other|0|0|1.1874257858883819|9.680406499268875
CUST-7416|22|24000|700|23000|24|Natural resources extraction expert deals with resource boom dividends amplifying fiscal freedom levels|0|Other|0|0|0.9582934044414816|10.085850775128717
CUST-0564|50|26000|760|32000|24|Event planner combines event frequency increase with premium pricing models obtaining notable upside returns boosting creditor confidence|0|Other|0|0|1.2307218953117187|10.165890277802454
CUST-6312|29|27000|750|31000|24|Highway construction inspector applies safety protocol improvements reducing incident rate while maintaining productivity attracting solid financials for further commitments|0|Trade|0|0|1.148105625717566|10.203629181337648
CUST-0456|34|57000|780|100000|36|The applicant recently won an art competition providing financial support despite lower credit score due to past gambling habits|1|Other|0|1|1.7543551867511096|10.950824090522445
CUST-1923|42|130000|690|50000|24|Medical professional facing unexpected surgery expenses although earning well above average salary indicating potential risk factors not reflected in current employment status|1|Medical|0|1|0.38461242605826107|11.775297421715827
CUST-2718|26|32000|550|60000|12|Student majoring in engineering receiving substantial academic scholarship reducing personal borrowing needs [Asset: Insurance Payout]|0|Education|1|0|1.8749414080809974|10.373522431293592
CUST-4395|58|150000|820|220000|48|Tech industry employee benefits heavily from company stock options leading to increased net worth without traditional investments [Risk: Hidden liabilities]|1|Tech|0|0|1.4666568889540736|11.918397239722838
CUST-0832|47|220000|840|100000|36|Business executive dealing with divorce litigation which may affect future finances though currently appears stable|1|Business|0|1|0.45454338843914344|12.301387370778713
CUST-2587|23|28000|610|25000|12|Retired person living off annuities should have less need for loans; however, they seek additional funds for travel plans revealing inconsistent planning|1|Retired|0|0|0.8928252562408485|10.239995502805316
CUST-1143|31|49000|700|140000|24|Service provider accumulating wealth through inheritance expected stability given longstanding career achievements|0|Service|1|0|2.857084549294912|10.799595985047786
CUST-3924|39|120000|800|200000|24|Healthcare administrator using insurance settlement to improve quality of life while maintaining good standing at workplace suggests robust asset management|0|Other|1|0|1.6666527778935176|11.695255355062795
CUST-0076|45|180000|770|100000|24|Real estate agent benefiting from recent property sale contributing significantly towards down payment showing diversified portfolio success [Risk: Divorce settlement]|1|Real Estate|0|1|0.5555524691529492|12.100717685412471
CUST-0319|28|210000|670|100000|12|Finan0cial advisor leveraging windfall dividends after years of prudent saving practices demonstrates effective money handling skills|0|Other|1|0|0.476188208627578|12.25486757159303
CUST-2908|41|250000|830|250000|36|Pilot working for airline who received bonus pay raises reflective of exceptional performance metrics yet exhibits unpredictability in spending patterns|1|Other|1|0|0.999996000016|12.429220196836383
CUST-0562|22|160000|730|220000|24|Graphic designer pursuing further education via student loan forgiven upon completion suggesting commitment to self-improvement could offset risks associated with new field entering|0|Service|0|0|1.3749914063037105|11.982935344196433
CUST-1473|37|270000|750|120000|12|Physician recovering from malpractice lawsuit utilizing trust fund aimed toward health care facility acquisition representing strategic growth opportunity [Risk: Speculative losses]|1|Other|1|1|0.44444279836000605|12.506180941677357
CUST-3045|48|330000|810|80000|24|Bank manager whose home purchase was made possible by joint venture profits indicates solid business understanding translating into sound lifestyle choices|0|Business|1|0|0.2424235078075521|12.706850963741102
CUST-1804|32|140000|720|60000|36|Surgeon experiencing overdue mortgage adjustments necessitated sudden liquidation efforts undermining apparent fiscal responsibility under pressure|1|Medical|0|0|0.4285683673688045|11.849404844423074
CUST-2651|24|170000|790|200000|24|Consultant accruing significant equity interest thanks to successful patent filings highlights innovation driven prosperity potentially mitigating default odds|0|Business|0|0|1.1764636678607774|12.04355959836804
CUST-0491|46|200000|810|150000|48|Mechanic opting against refinancing existing car lease shows disciplined approach likely counterbalancing occasional large discretionary purchases indicative of edge cases [Risk: Casino addiction]|1|Trade|0|0|0.7499962500187499|12.206077645517674
CUST-0927|33|240000|840|200000|12|Accountant gainfully employed following certification upgrade attests to continuous skill development enhancing market value amid fluctuating economic conditions [Risk: Large gambling debt]|1|Business|0|1|0.8333298611255786|12.388398368982115
CUST-0045|45|150000|690|75000|36|Tech professional facing sudden lawsuits affecting credit health|1|Tech|0|0|0.49999666668888876|11.918397239722838
CUST-1223|34|22000|730|50000|24|Business owner benefits from recent insurance settlement boosting net worth|0|Business|1|0|2.272623971637653|9.99884318585288
CUST-0876|28|60000|720|30000|12|Student athlete inheriting substantial funds easing initial loan burdens|0|Student|0|0|0.49999166680555324|11.002116507732017
CUST-1958|50|180000|800|200000|24|Retired individual manages stable investments despite higher than average age group defaults|0|Retired|0|0|1.1111049383058984|12.100717685412471
CUST-0642|38|25000|680|100000|36|Medical practitioner overcomes negative event through royalty payments enhancing credibility|1|Medical|1|1|3.999840006399744|10.12667110305036
CUST-3124|45|70000|680|100000|48|Medical professionals face unexpected expenses despite good credit score|1|Medical|0|1|1.4285510206997043|11.156264806643742
CUST-7820|35|120000|780|400000|36|Retired individual receives large inheritance boosting ability to pay off higher loans|0|Retired|1|0|3.3333055557870352|11.695255355062795
CUST-9832|50|22000|720|60000|24|Artists have irregular earnings yet maintain solid financial planning through service industry profits [Note: History of late payments]|1|Service|0|0|2.7271487659651834|9.99884318585288
CUST-0478|62|150000|770|225000|48|Plumbers dealing with overdue bills find relief after legal settlement payment plan established [Risk: Speculative losses]|1|Other|0|0|1.4999900000666662|11.918397239722838
CUST-6729|32|25000|690|125000|36|Bankruptcies occur when student graduates without stable employment post degree completion [Note: erratic cash flow]|1|Student|0|1|4.99980000799968|10.12667110305036
CUST-1134|40|40000|760|150000|24|Drivers receive windfalls from side gigs that cover larger than usual monthly installments [Note: History of late payments]|1|Other|0|0|3.7499062523436915|10.596659732783579
CUST-8241|27|18000|650|50000|24|Service employees benefit from insurance settlement mitigating risky lending decisions|1|Service|1|0|2.7776234653630354|9.798182590890704
CUST-5689|55|160000|820|320000|48|Engineers experience divorce proceedings affect their finances negatively despite healthy income levels|1|Other|0|1|1.9999875000781244|11.982935344196433
CUST-2394|43|80000|700|200000|36|Teachers leverage bonus from school district endorsement program towards better credit utilization|0|Other|1|0|2.4999687503906203|11.289794413577894
CUST-0273|38|55000|730|200000|48|Chefs take advantage of trust funds which allow them secure more substantial home purchase investments|1|Other|1|0|3.6362975218632387|10.915106645867503
CUST-7142|29|14000|620|45000|24|Automotive workers deal with an accident claim while having considerable personal wealth ensures timely mortgage fulfillment [Note: erratic cash flow]|1|Other|0|1|3.214056138847225|9.546884034617925
CUST-6458|47|130000|810|525000|36|Hospital administrators facing lawsuits turn to asset-backed loans provided against property holdings [Risk: Divorce settlement]|1|Real Estate|0|1|4.038430473611742|11.775297421715827
CUST-8910|34|110000|680|330000|48|Pharmaceutical sales representatives encounter gambling losses requiring intervention from relatives’ estate plans|1|Business|0|1|2.999972727520659|11.608244735642321
CUST-5763|30|100000|740|250000|36|Real Estate Agents accumulate dividends helping offset potential late fees on delinquent accounts|0|Real Estate|0|0|2.4999750002499974|11.51293546492023
CUST-2587|49|210000|790|420000|24|Construction Workers rely on robust project pipelines assuring consistent flow into bank accounts facilitating ample down payments|0|Trade|0|0|1.9999904762358274|12.25486757159303
CUST-3965|41|190000|750|380000|24|Marketing Managers inherit company shares improving borrowing capacity dramatically [Risk: Divorce settlement]|1|Other|0|1|1.999989473739612|12.154784614286667
CUST-0439|48|160000|770|240000|36|Financial Advisors possess diversified portfolios enabling riskier refinancing deals|0|Other|0|0|1.4999906250585935|11.982935344196433
CUST-1914|31|150000|710|225000|48|Veterinary Surgeons gain equity stakes via practice ownership increasing net worth significantly|0|Other|0|0|1.4999900000666662|11.918397239722838
CUST-8843|53|240000|800|360000|24|Accountants enjoy bonuses during peak tax season providing additional security against default probability|0|Other|0|0|1.4999937500260416|12.388398368982115
CUST-0321|26|145000|640|280000|36|Public Relations Specialists accrue royalties covering premium auto financing options|0|Other|0|0|1.9310211653712732|11.884495917930655
CUST-7293|50|230000|780|340000|24|Graphic Designers get paid upfront retainers supporting flexible spending limits [Risk: Divorce settlement]|1|Other|0|1|1.4782544423719897|12.345838935721968
CUST-5512|39|210000|760|300000|48|Computer Programmers harness coding competition winnings stabilizing household budgets [Risk: Hidden liabilities]|1|Other|0|0|1.4285646258827338|12.25486757159303
CUST-1142|36|120000|650|200000|24|Nurses manage well above minimum requirements thanks to annual leave benefits allowing extra spendability|0|Other|0|0|1.6666527778935176|11.695255355062795
CUST-6783|52|175000|740|350000|36|Healthcare Administrators draw upon hospital partnerships securing favorable interest rates [Risk: Large gambling debt]|1|Other|0|1|1.9999885714938772|12.07254696717504
CUST-0271|30|260000|700|320000|48|Personnel managers exploit staff development grants reducing reliance on external education resources|0|Service|0|0|1.2307644970596268|12.468440756144114
CUST-4591|48|155000|720|310000|24|Event Planners acquire clientele loyalty programs easing access to affordable housing markets|0|Other|0|0|1.9999870968574396|11.951186847493476
CUST-9231|43|130000|670|300000|36|Security Consultants profit from government cyber defense initiatives raising available collater0lution amounts|0|Other|0|0|2.3076745563495664|11.775297421715827
CUST-7194|35|180000|760|450000|48|Cyber Security Experts obtain patent rights translating directly to increased disposable income|0|Other|0|0|2.4999861111882713|12.100717685412471
CUST-2349|50|220000|730|340000|24|Pilots negotiate corporate sponsorship packages elevating living standards beyond mere maintenance needs|0|Other|0|0|1.5454475206930878|12.301387370778713
CUST-6821|44|195000|750|370000|36|Software Developers engage in stock market hedge strategies balancing out unforeseen liabilities|0|Tech|0|0|1.8974261670452972|12.180759965737863
CUST-3914|42|200000|730|320000|24|Aerospace Technicians apply space grant subsidies streamlining purchasing power enhancement|0|Other|0|0|1.5999920000399999|12.206077645517674
CUST-0812|46|160000|710|260000|48|Physiotherapists recoup injury compensation judiciously allocating surplus toward long term educational pursuits|0|Other|0|0|1.6249898438134762|11.982935344196433
