Customer_ID|Age|Annual_Income|Credit_Score|Loan_Amount|Loan_Term_Months|Loan_Officer_Note|Default_Status
CUST-0445|32|32357|570|70349|18|Elementary teacher leverages classroom resources sale generating unexpected surplus|0
CUST-0893|59|71189|690|249341|24|Accountant utilizes bonus seasonally increases ability to meet higher monthly payments without strain|0
CUST-0587|67|126710|730|208108|24|Lawyer handles firm takeover deal requiring minimal external financing options available|0
CUST-0392|53|80481|680|151124|24|Engineering consultant receives large project milestone payment reducing shortfall concerns|0
CUST-0641|46|44466|650|100217|18|Health care provider uses community bonuses effectively covering increased operational scope expansion|0
CUST-0856|60|76360|710|277946|24|Real estate agent sells properties securing enough liquidation value eliminating need for new mortgage|0
CUST-0479|35|36681|600|49951|18|Graphic designer finds freelance gig increasing disposable income beyond expected levels|0
CUST-0723|66|112847|740|271941|24|Data scientist lands lucrative partnership ensuring financial stability exceeds typical thresholds|0
CUST-0291|49|42221|610|109095|18|School principal negotiates favorable district bond issue decreasing dependency on individual student loans|0
CUST-0582|54|73748|700|221009|24|Financial advisor allocates inheritance wisely avoiding unnecessary indebtedness posthumous gains allow|0
CUST-0904|51|69359|720|241547|24|Construction manager amasses sufficient home equity stake mitigating future property acquisition necessity|0
CUST-0268|33|60825|630|130056|18|Personnel officer inherits company stock providing dividend flow security long term objectives met|0
CUST-0731|58|77510|750|258014|24|Consultancy leader achieves breakthrough patent creating influx allowing repayment plan restructuring advantage|0
CUST-0410|52|57951|660|181598|24|Software developer secured multiple endorsements elevating confidence level maintain optimal credit standing|0
CUST-0365|44|46421|620|118834|18|Pilot employed by airline accrues frequent flier miles offsetting cost implications lending flight tickets discount option|0
CUST-0813|63|82380|730|289410|24|Event planner harnesses event profit margin potential resolving past clientele demands fiscal responsibility assured|0
CUST-0922|64|131629|740|199591|24|Cybersecurity expert identifies niche market opportunity enabling self-sufficient growth phase initiation|0
CUST-0578|50|77894|700|210361|24|Bank teller invests windfalls optimizing compound interest effectiveness reduces forecasted borrowing requirement|0
CUST-0612|45|46231|640|160784|18|Research assistant publishes paper receiving sponsorship boost significantly lessening dependence on academic grants continuation necessary|0
CUST-0764|43|51986|0|139099|18|Chemistry lab technician acquires proprietary rights licensing fees cover education upgrade plans accelerated timeline achievement goals attained|0
CUST-0333|55|73486|720|229951|24|Physiotherapist develops exercise DVD series commercial viability proves adequacy prevents further educational advancement distractions needed address immediate certification renewal essential|0
CUST-0202|69|121299|710|298289|24|Environmental lawyer represents multinational corporation major case victory results environmental damage liabilities minimized thus diminished urgent sustainability projects required completion priorities refocused strategize outcome positive economic status achieved|0
CUST-0052|45|55609|690|74366|36|Retiree facing unexpected healthcare bills despite strong pension plan|1
CUST-1117|29|31828|580|100376|12|Student working part-time while studying; secured against parents’ property|0
CUST-0345|35|81455|650|298837|60|Entrepreneur expanding startup requires substantial fundraising beyond current creditworthiness|1
CUST-2103|54|67955|720|139150|48|Doctor dealing with declining clinic revenues seeks relief through new loans|1
CUST-0789|42|50672|600|90312|24|Military veteran faces deployment risks affecting stability even though having government benefits|1
CUST-2901|27|41285|600|60457|24|Blue collar worker balancing overtime shifts struggles under tight finances|1
CUST-3204|48|76335|680|201538|60|Bank teller anticipating early promotion hopes financing education without jeop0ardizing status|0
CUST-1357|52|85649|670|221231|36|Nurse transitioning into administrative role needs funds during tenure change|0
CUST-2890|31|47690|620|150394|24|High school teacher aiming at summer seminar travel expenses using personal inheritance|0
CUST-1623|38|56641|660|211259|12|Lawyer handling unstable legal cases worried about sudden liabilities seeking extra security|1
CUST-0456|41|49555|610|170098|24|Private investigator managing agency fees vs salary balance wants flexible repayments option|1
CUST-2231|37|72805|700|159419|36|Paralegal receiving bonus sees it inflating lifestyle expectations exceeding usual spending norms|1
CUST-0642|30|50990|630|231491|24|Real estate agent leverages asset value too heavily leading to potential default concerns|1
CUST-1874|44|69680|710|279555|36|Architect needing quick expansion approval takes out larger than necessary mortgage|1
CUST-0395|26|42468|610|139811|24|Security guard concerned about long term injuries impacting future earnings capacity|1
CUST-2718|49|81889|700|270840|12|Financial analyst expecting stock options boost feels comfortable taking additional leverage|0
CUST-1456|50|76221|690|258296|24|Marketing manager looking ahead to possible layoffs uses borrowed money strategically|0
CUST-0923|33|48682|640|248338|48|Jewelry salesperson deals with fluctuating market demand fears loss could compromise payments|0
CUST-2381|36|53288|650|180710|24|Administrative assistant covering tuition pays off student loans before graduation|0
CUST-0567|47|73360|680|239652|24|Airline stewardess planning frequent flyer miles purchase might stretch resources thin|1
CUST-1945|46|68493|670|208020|12|Construction project coordinator expects downturn slows down business potentially increasing financial stress|1
CUST-2613|29|45491|630|129347|18|Pilot awaiting airline merger news unsure how changes will influence ability to meet payment obligations|1
CUST-0832|34|45288|620|219224|24|Graphic designer invests profits back into studio causing concern about maintaining liquidity after tax season|1
CUST-1579|39|72953|690|200534|48|Physician assisting patients who lose insurance coverage may face increased patient responsibility and reduced income|1
CUST-0478|28|43401|0|140208|24|Freelancer juggles multiple gigs deciding whether diversification reduces dependence on any single source enough to avoid trouble|1
CUST-2469|35|71142|670|228561|12|Software developer considering side hustle amid industry uncertainty wonders effect on existing commitments|1
CUST-0684|43|81626|710|252304|36|Automobile dealership owner investing excessively causes alarm regarding interest rate increases|1
CUST-2028|32|65861|680|161353|24|Chemist worrying about patent lawsuits possibly reducing profit margins greatly complicates planned home renovations|0
CUST-0216|31|40302|640|189093|24|Travel blogger experiences surge then drop in tourism influencing confidence levels when securing further lines of credit|1
CUST-0798|45|65871|660|168636|24|Engineering firm employee contemplating significant raise postponement until portfolio shows consistent growth|0
CUST-1013|42|71191|700|222115|36|Small shopkeeper predicting local economic recovery plans more conservatively approaching bank requirements|1
CUST-0346|29|48411|620|149706|24|Health coach focused on wellness coaching certifications considers applying knowledge to reduce monthly spend|0
CUST-1774|38|67572|670|239280|12|Police officer near mandatory retirement age evaluates safety net provided by years served versus immediate financial goals|1
CUST-0561|41|76007|690|259459|24|Public relations specialist frets department cutback rumors straining client relationships implies poor projection skills|1
CUST-2253|37|71965|680|208328|12|Medical researcher confident publication soon improves standing allows greater leniency towards variable compensation rates|0
CUST-0789|46|72804|700|199155|36|Nonprofit director seeing community donations increase applies proceeds judiciously preventing missteps given limited experience|1
CUST-2039|33|47314|650|129453|24|Artisan crafting bespoke items assesses recent uptick in orders warrants caution concerning inventory holding cost|1
CUST-0245|27|41280|610|158676|24|Wildlife photographer optimizes time spent abroad maximizes returns ensuring living comfortably remains achievable|0
CUST-1631|48|77267|660|219263|12|Advertising executive assessing major campaign success justifies higher indebtedness hoping customer base translates directly to recurring revenue|1
CUST-4012|72|29956|650|140913|48|Entrepreneur secured startup funding; showing aggressive growth potential despite modest credit history|0
CUST-0734|50|61395|700|99049|36|Doctor operating small clinic shows resilience against economic downturn through community health initiatives|0
CUST-3055|60|83639|670|30172|60|Student working part time while paying tuition displays prudent financial management amidst rising education expenses|0
CUST-1204|58|32596|550|15100|12|Blue collar worker accruing overdue bonus after months of shift work indicates possible oversight during tax season leading to default risks|1
CUST-2131|70|119805|730|28118|48|Military veteran benefits combined with government stipend allow sufficient repayments even though past loans were unsuccessful indicators|0
CUST-3589|38|48336|620|178585|60|Retiree enjoying monthly dividends suffices her needs without requiring extra financing options available elsewhere|0
CUST-0882|45|15241|590|20107|12|Lawyer dealing with lawsuits finds himself strapped under legal fees outweighing his current salary making him vulnerable to defaults|1
CUST-1473|52|21884|570|15944|24|Nursing professional facing declining patient appointments struggles to maintain consistent finances contributing to increased borrowing limits being met again|1
CUST-2560|75|91567|710|23794|36|IT specialist benefiting from recent software project success secures additional resources ensuring timely payment consistency indicating sound fiscal discipline|0
CUST-3751|63|40948|690|20140|48|Real estate agent leveraging property sales proceeds meets all obligations demonstrating an effective asset utilization strategy|0
CUST-0421|49|109091|760|171000|60|A teacher manages unexpected reduction in class size improving teaching earnings sufficiently covering educational dues effectively mitigating any perceived shortfall|0
CUST0234|66|128728|680|34857|12|Construction supervisor experiences delayed wage increments resulting in temporary reliance on personal networks which may pose higher interest rates affecting future decisions|1
CUST-2143|67|81256|720|22197|24|Marketing executive receiving bonuses covers both basic necessities and lifestyle choices suggesting responsible spending habits translating into reliable loan repayments|0
CUST-0831|44|76144|700|20982|60|Business owner diversifying investments proves successful enough reducing dependency on external financiers facilitating smooth transaction processes|0
CUST-1912|36|66600|660|27003|12|Social media influencer negotiates lower advertising spend thanks to improved engagement metrics allowing better control over expenditure enhancing ability to meet commitments ahead of schedule|0
CUST-0390|55|26726|530|17942|48|Financially independent individual supporting self adequately handling primary residence upkeep convincingly portraying no need for supplementary aid thereby avoiding delinquency scenarios|0
CUST-2455|47|88375|670|22936|36|Pilot receives lucrative deal closing gap between gross flight compensation and operational cost showcasing efficient resource allocation signalling strong solvency position|0
CUST-0671|40|161189|680|191439|60|Pharmacist profits surge following drug approval allows confident expansion whilst meeting consumer demand highlighting exemplary business acumen promoting positive creditor relations|0
CUST-1538|71|94663|700|15090|48|Physiotherapist’s private practice thrives post pandemic recovery phase affording ample discretionary funds eliminating immediate necessity for new lines of credit thus securing favorable status evaluations|0
CUST-2791|59|118165|640|20155|24|Graphic designer collaborates closely within creative circles generating mutually beneficial arrangements fostering trustworthiness among peers reinforcing solid reputation hence diminishing likelihood of falling behind on liabilities|0
CUST-3264|65|101098|690|220889|12|Automobile mechanic gains substantial repair shop ownership profit justifies premium vehicle maintenance coverage displaying proactive wealth maximization behaviors negating early termination concerns|1
CUST-0167|53|91572|670|170818|60|Account manager taps into client base via refined networking skills yielding incrementally growing revenues confirming capacity to honor extended deadlines promptly further boosting confidence levels amongst affiliated entities|0
CUST-1456|42|141335|710|24824|36|Architectural consultant exploits urban development opportunities efficiently balancing overheads versus earned sums manifesting robust planning aptitude conducive to sustained adherence to agreed upon quotas|0
CUST-2981|68|130278|660|242255|12|Engineering technician advances skill set attaining elevated roles commanding competitive remuneration satisfying essential living requirements precluding undue indebtedness compromise|0
CUST-0411|54|106245|720|180349|24|Content strategist cultivates niche market expertise garnering respect acknowledgment stabilizing career trajectory assuaging trepidations regarding longstanding monetary responsibilities|0
CUST-1375|56|110488|670|191842|36|Supply chain analyst identifies optimization pathways streamlining logistics operations achieving equilibrium point where output value supports existing leverage ratios minimizing exposure to volatility impacting decision-making process|0
CUST-0732|51|147285|700|259386|48|Bank teller transitions role owning local bank branch revamping customer experience protocol consequently augmenting deposits influx lessening chances of deficiency fulfillment failures prior to scheduled dates|1
CUST-0123|58|78969|810|297573|48|Entrepreneur facing startup expansion needs despite unstable market conditions|1
CUST-0456|35|49693|650|85738|36|Student working multiple shifts at factory while pursuing tuition fees aggressively|0
CUST-0789|44|32570|600|199132|48|Retired teacher with small annuity managing monthly expenses effectively through inheritance plans|0
CUST-0234|67|115498|720|120053|24|Military veteran dealing with deployment risks; however secured asset base allows moderated borrowing limit|1
CUST-0678|52|58201|575|149850|36|Doctor operating clinic undergoing rapid growth phase needing funds beyond current patient count capabilities|1
CUST-0345|29|39802|625|219049|24|Blue collar worker receiving overtime bonuses compensating higher than average credit score|0
CUST-0987|62|81270|690|179884|48|Nurse balancing class schedule against salary constraints requiring external financing options|1
CUST-1023|48|76160|705|300139|36|Engineering student close to graduation planning significant post-college life changes necessitating additional loans|1
CUST-1124|54|68265|610|139406|48|Lawyer handling several cases expecting sudden legal emergencies impacting financial stability|1
CUST-1234|33|24882|580|99518|24|Administrative assistant striving towards early tenure recognition within company without sufficient means|0
CUST-1356|45|84522|715|268162|36|Architect experiencing booming sales targets yet maintaining prudent lending practices|0
CUST-1467|57|88464|755|201734|36|Technician earning below median wages who invests diligently into their personal software portfolio|0
CUST-1578|49|65232|600|148956|48|Social Worker providing community services faces unexpected surge demand affecting finances|1
CUST-1689|55|72217|690|219066|24|Financial Advisor accumulating wealth amid volatile stock trades seeking secure investments|0
CUST-1790|36|61804|595|119764|24|Pilot ensuring flight safety focuses less on immediate material gains more on future career advancements|0
CUST-1801|60|91304|720|180923|24|Healthcare Manager supporting patients requires robust health insurance coverage exceeding normal limits|1
CUST-1912|40|52123|560|139490|36|Artist using creativity to subsidize living expenses off art sale profits remains conservatively solvent|0
CUST-2023|46|79353|690|198865|24|Consultant negotiates tough client deals aiming toward long term success rather than short term liquidity strains|0
CUST-2134|58|75296|715|158472|36|Marketing Specialist employing digital strategies finds reliable recurring clients reducing reliance on new customer acquisition funding|0
CUST-2245|35|59588|570|118850|36|Journalist covering essential news topics continues professional development whilst upholding fiscal responsibility|0
CUST-2356|47|67700|645|130529|24|School Principal dedicated to educational excellence prioritizes students’ opportunities above all else|1
CUST-2467|61|86383|730|211547|36|Business Partner shares equitable responsibilities making joint ventures highly successful|0
CUST-2578|50|71261|680|149817|24|Data Scientist leveraging analytics skills achieves promising project results which justifies careful resource allocation|0
CUST-2689|43|63278|620|169160|36|Operations Manager streamlines production processes resulting in efficient profit margins allowing responsible spending habits|0
CUST-2790|53|80460|705|191409|24|Security Officer focusing heavily on duty performance receives consistent paycheck facilitating solid saving strategy|0
CUST-2801|59|77375|690|228519|36|Public Relations Expert building brand reputation also cultivates strong interpersonal relationships benefiting financial security|1
CUST-2912|34|64248|580|140528|24|Event Coordinator orchestrates numerous events efficiently utilizing resources minimally contributing significantly to event budgets|0
CUST-3023|48|74138|670|179756|24|Project Lead coordinating cross-function teams enhances productivity leading to increased output value stabilizing economic status|0
CUST-3134|51|73230|700|168540|36|Construction Supervisor masterfully completes projects ahead of deadline maximizing returns before reinvesting in team morale boosters|1
CUST-3245|46|67262|590|161041|36|Environmental Consultant advising companies leads them away from unsustainable practices improving business longevity|1
CUST-3356|57|80418|720|220380|24|Travel Agent specialized in luxury trips optimizes travel packages increasing net worth carefully preserving excess buffer|0
CUST-3467|52|77110|690|191501|36|Quality Control Inspector identifying key defect issues reduces waste substantially enhancing overall cost effectiveness|0
CUST-3578|49|79379|685|199756|24|Bank Teller consistently excellent depositor attracting valuable customers thereby securing bank accounts well diversified across various products|0
CUST-3689|54|70512|670|140261|36|Digital Marketer implementing innovative campaigns generates sizable ROIs confirming sustainable consumption pattern|0
CUST-3790|58|80951|710|169702|24|Agricultural Produce Buyer engaging directly with local farmers supports regional agriculture becoming self-sufficient thus eliminating food scarcity concerns|1
CUST-3801|45|66948|570|160285|36|Real Estate Broker closing lucrative deals provides enough residuals even after tax implications suggesting effective property management|0
CUST-3912|39|61972|590|120527|24|Logistics Planner coordinates supply chain operations mitigating delays henceforth strengthening logistical control mechanisms|0
CUST-0021|55|32126|620|99061|24|Doctor managing clinic patients facing overwhelming personal expenses beyond their earnings capacity|1
CUST-1583|42|65638|700|139372|30|Entrepreneur struggling startup expansion amid declining sales targets causing financial strain despite strong initial funding|1
CUST-2845|35|71364|690|158926|24|Retired military veteran receiving minimal benefits yet qualifies unexpected good payee status through asset liquidation|0
AIM-4756|60|54979|710|198022|28|Blue collar worker dealing with unstable shift schedules leading to inconsistent salaries contributing to default concerns|1
CUST-5823|29|38877|580|59877|26|Lawyer handling multiple cases suddenly hit legal battle cost forcing them into an unusual scenario where they have secured loans against future case wins which could turn sour|1
CUST-6934|40|83993|740|130833|25|Healthcare professional experiencing rapid growth in patient load resulting in potential burnout impacting creditworthiness negatively|1
CUST-7621|22|45203|680|109025|24|Financial analyst who just received early promotion potentially increasing wealth quickly enough to secure better repayment plans indicating stability|0
CUST-8235|45|67622|0|149395|26|Engineering graduate starting new venture receives substantial inheritance boosting immediate finances while maintaining solid employment prospects suggesting long term solvency|0
CUST-9043|33|59063|640|139160|28|Nursing school student balancing part time hospital shifts making ends meet though lack sufficient funds post-study period indicates possible trouble ahead|1
CUST-9581|37|55122|660|171511|27|Real estate agent leverages property portfolio heavily, positing significant risks related to market fluctuations affecting payment capabilities|1
CUST-0032|28|49581|0|119543|26|Physician practicing solo specializing in dermatology operates under tight margins needing occasional large equipment purchases pushing towards poor Debt Service Coverage Ratio|1
CUST-0214|47|81055|750|201140|30|Account manager accumulating experience wonders about implications of accruing higher tax liabilities than expected based upon current compensation package suggests caution needed before advancing loan application|1
CUST-0456|52|76308|720|179414|29|Freelance writer juggles irregular project bids ensuring varied income flow presents less predictable profile necessitating careful assessment regarding lending suitability|1
CUST-1129|25|42034|600|129313|27|Marketing coordinator finds it challenging to cover rent after recent layoff revealing precarious position when considering additional financing needs|1
CUST-1342|43|82989|760|161214|28|Bank teller transitioning careers contemplates taking out more education loans because anticipated increase in hourly rate does not immediately offset educational investments made so far|1
CUST-1587|21|46641|590|120873|25|New hire fresh college grad embarking on first full-time role seeks understanding how limited past spending habits might influence ability to manage increased commitments including any proposed home mortgage|1
CUST-1834|34|77676|740|170879|26|Junior accountant faced sudden reduction in hours following company merger expresses concern whether reduced consistent remun0bts may lead to difficulties meeting extended obligations such as car lease|1
CUST-2025|39|63818|700|149314|27|Personnel officer recently started mentoring program aimed at leadership development fears disruption will temporarily reduce disposable income available thus jeopardising upcoming planned purchase decisions|1
CUST-2176|44|76549|730|189791|28|Software developer seeking career change considers existing modest bonus pool insignificant compared to larger sums required for securing desired house size given present lower valuation metrics in chosen area|1
CUST-2354|32|63341|670|128913|26|Recently graduated teacher eager to establish independent scholarship initiative worries shortfall between academic stipend plus teaching assistantships versus total housing aspirations remain uncertain until grants materialize|1
CUST-2463|48|90348|770|159646|27|Administrative Assistant applying ten years later returning to field believes previous saving strategy during peak executive roles wasn’t aggressive enough once adjusted for inflation rates hence doubting self-sufficiency concerning next life phase objectives|1
CUST-2609|24|44387|650|110127|25|Elementary School principal evaluating endowment plan contributions vs yearly benefit statement feels hesitation owing to perceived imbalance possibly undermining intentions for children's private university attendance|1
CUST-2741|36|88248|750|180029|28|Data scientist newly promoted grapples with apprehension relating to elevated responsibilities demanding greater focus thereby reducing opportunities for extra side projects essential for surpassing basic financial goals set forth initially|1
CUST-2907|41|78156|760|171425|27|Child psychologist exploring possibility of opening own counseling center queries availability resources capable sustaining necessary overhead whilst preserving clientele base remains critical consideration prior approval process|1
CUST-3092|46|91300|780|160036|28|Public Health Officer concerned uneven scale tipped too much weight toward health mandatory bonuses compromises chances reaching specified net worth milestone crucial for comfortable downscaling operations planning|1
CUST-0056|35|59804|650|50002|24|Entrepreneur seeking startup capital; strong business plan despite moderately aggressive growth targets|0
CUST-0243|52|31638|0|70285|36|Healthcare professional managing patients effectively while maintaining good credit score through managed expenses|0
CUST-0789|40|148963|0|199691|12|Real estate investor diversifying portfolio amid market volatility without impacting financial stability significantly|0
CUST-0412|37|57598|0|218696|24|Military veteran transitioning into civilian life supported financially though past deployments caused unforeseen liabilities|1
CUST-1274|29|47039|610|279229|24|Student working part-time at university contributing tuition fees alongside full-time education efforts showing promise for future earnings potential|0
CUST-0831|62|35313|680|29794|24|Blue collar worker overcoming shift challenges demonstrating consistent performance under fluctuating demand cycles|0
CUST-0545|26|25202|590|121056|24|Retiree planning early retirement after securing enough nest egg ensuring no lending risks ahead|0
CUST-0968|45|108179|700|210126|36|Lawyer facing legal hurdles yet benefiting from government contingencies protecting against default claims|1
CUST-0331|59|127728|780|262405|24|Business analyst optimizing sales strategy resulting in meeting monthly goals consistently even during economic downturns|0
CUST-0678|41|65427|670|280809|24|Architect leveraging design skills yield positive returns affirming ability to meet long-term mortgage obligations|0
CUST-0812|33|75568|650|239439|24|Software developer acquiring new clients leading to increased project volume within safe repayment capabilities|0
CUST-0287|27|19602|580|29989|24|Freelancer establishing credibility across multiple industries based on diverse skill set assurance|0
CUST-0945|55|50089|690|272352|36|Bank manager dealing with personal finances separately showcasing exemplary fiscal responsibility separate from their profession|0
CUST-0482|28|145896|710|231678|24|Marketing coordinator launching online course platform revealing innovative approach towards educational services|0
CUST-0764|42|54768|720|250828|12|Medical device representative negotiating deals successfully expanding product adoption rates anticipating profit margins|0
CUST-0592|22|40407|600|159913|24|Account executive accumulating bonuses signifies reliable salary source independent of current employment dealings|0
CUST-0614|39|67892|660|292675|24|Graphic designer balancing freelance projects well illustrates versatile adaptability to changing client demands|0
CUST-0011|70|19789|690|50467|24|Entrepreneur facing startup expansion needs despite unstable business fundamentals|1
CUST-0023|55|49514|620|99634|24|Student managing tuition fees alongside part-time sales targets; strong credit score indicates potential repayment capability|0
CUST-0034|40|34817|580|120773|24|Doctor working long shifts at clinic faces financial strain affecting patient care quality suggesting default possibility|1
CUST-0045|65|70477|720|20031|24|Retired military veteran receiving modest government benefits struggles against unexpected legal expenses|1
CUST-0056|29|25323|610|79543|24|Blue collar worker experiences over-leveraged asset acquisition leading to precarious living situation|1
CUST-0067|45|63828|700|149924|24|Investor hit hard by market volatility yet maintains robust portfolio value indicating good payment capacity|0
CUST-0078|35|80438|0|25054|24|Nurse dealing with patients while trying to cover mounting hospital bills suggests possible difficulty meeting obligations|1
CUST-0089|50|59455|690|129053|24|Teacher earning mid-range salary balancing classroom responsibilities shows reliable finances for loan payments|0
CUST-0090|62|90571|710|179581|24|Engineer accumulating substantial venture funds after successful product launch signals excellent creditworthiness|0
CUST-0091|75|98474|680|139617|24|Real estate agent leverages property investments excessively hinting towards impending struggle without intervention|0
CUST-0092|30|150120|750|30299|24|Small Business owner grapples between operational demands and personal liabilities underlining an increased chance of delinquency|1
CUST-0093|58|118717|760|27892|24|Marketing specialist enjoys health insurance which mitigates risks otherwise present during critical illness episodes signalling stability|0
CUST-0094|55|109063|740|34685|24|Financial advisor handling diverse clientele exhibits comprehensive understanding of wealth management ensuring timely disbursements|0
CUST-0095|67|130139|770|40112|24|Software developer secures lucrative employment post recent graduation displaying ability to meet higher educational commitments consistently|0
CUST-0096|42|39268|0|99438|24|Construction laborer supporting multiple families through physical rigors implies adequate compensatory mechanisms being employed effectively|0
CUST-0097|61|115654|0|21908|24|Freelancer juggling various projects demonstrates versatile skills translating into predictable monthly revenues capable of servicing loans|0
