age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,default_risk,sentiment,sentiment_score,financial_stress_level,risk_category
43,6000.0,0.42,24000.0,36,1,2,8,Self-Employed,Bachelor,Married,Suburban,"My finances can be a bit tight sometimes, but I'm managing everything.",0,neutral,0.7990983724594116,Low,Low Risk
37,3200.0,0.81,17000.0,48,4,3,7,Salaried,Diploma,Single,Urban,"Despite my efforts, I'm finding it hard to juggle all my current financial commitments.",1,negative,0.8420806527137756,High,High Risk
56,14000.0,0.16,35000.0,48,0,0,20,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
21,1900.0,0.97,6000.0,36,9,1,1,Student,High School,Single,Urban,I am overwhelmed by my debts and struggling to find stable income.,1,negative,0.9473558664321899,High,High Risk
40,8000.0,0.28,20000.0,36,0,1,13,Salaried,Bachelor,Married,Suburban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
63,2500.0,0.84,9000.0,24,6,4,12,Unemployed,Diploma,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
46,5000.0,0.75,28000.0,60,4,3,9,Self-Employed,Bachelor,Single,Urban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
32,10000.0,0.23,25000.0,36,0,0,8,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
59,6500.0,0.48,12000.0,12,1,2,16,Salaried,Bachelor,Married,Suburban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
28,3000.0,0.88,15000.0,48,5,4,5,Salaried,High School,Single,Rural,I'm currently unable to meet my debt obligations and am falling further behind.,1,negative,0.968333899974823,High,High Risk
51,17000.0,0.14,42000.0,48,0,1,19,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
30,4000.0,0.62,25000.0,60,2,3,5,Self-Employed,Diploma,Single,Suburban,"It's a balancing act with my current income, but I'm committed to my financial goals.",0,neutral,0.8223519325256348,Low,Low Risk
67,2000.0,0.94,7000.0,12,8,3,11,Unemployed,High School,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
39,8500.0,0.3,20000.0,36,0,1,12,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
26,2500.0,0.96,10000.0,48,7,4,3,Student,Diploma,Single,Urban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
44,12000.0,0.21,30000.0,36,0,1,16,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
50,4200.0,0.78,22000.0,60,5,3,10,Self-Employed,Diploma,Divorced,Rural,I'm currently unable to meet my debt obligations and am falling further behind.,1,negative,0.968333899974823,High,High Risk
35,7000.0,0.4,28000.0,48,1,2,8,Salaried,Bachelor,Married,Urban,"I'm working on improving my credit score, but I keep up with payments.",0,positive,0.7940552234649658,Low,Low Risk
60,15000.0,0.13,40000.0,36,0,0,20,Salaried,Master,Married,Suburban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
29,3300.0,0.87,16000.0,60,6,5,4,Unemployed,Diploma,Single,Rural,"I've been unemployed for a while, and my credit has suffered significantly.",1,negative,0.969292163848877,High,High Risk
57,9000.0,0.26,25000.0,24,0,1,18,Salaried,Bachelor,Married,Urban,"With stable employment and careful budgeting, I keep my finances in order.",0,neutral,0.7583054304122925,Low,Low Risk
23,2100.0,0.99,8000.0,24,10,2,1,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
48,6000.0,0.69,30000.0,60,3,4,10,Salaried,Bachelor,Divorced,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
42,11500.0,0.24,28000.0,36,0,1,14,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
69,1700.0,0.92,5000.0,12,7,2,12,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
31,5200.0,0.55,26000.0,48,2,3,6,Self-Employed,Bachelor,Single,Urban,"It's a balancing act with my current income, but I'm committed to my financial goals.",0,neutral,0.8223519325256348,Low,Low Risk
54,16000.0,0.19,45000.0,48,0,0,20,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
27,2700.0,0.9,13000.0,36,8,5,4,Student,High School,Single,Suburban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
36,7200.0,0.37,16000.0,24,0,1,9,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
62,2800.0,0.83,10000.0,36,6,4,13,Unemployed,Diploma,Divorced,Rural,"My current job isn't providing enough to stay afloat, and I'm deeply concerned.",1,negative,0.8657320737838745,High,High Risk
45,5300.0,0.73,29000.0,60,4,3,9,Self-Employed,Bachelor,Single,Urban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
33,10500.0,0.27,26000.0,48,0,0,8,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
58,7000.0,0.46,14000.0,12,1,2,16,Salaried,Bachelor,Married,Suburban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
24,2000.0,0.95,7000.0,24,9,3,2,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
49,18500.0,0.11,48000.0,60,0,1,17,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
66,2100.0,0.88,6000.0,12,7,2,11,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
38,7900.0,0.32,19000.0,36,0,1,12,Salaried,Bachelor,Married,Suburban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
25,2900.0,0.93,11000.0,48,8,4,3,Student,Diploma,Single,Urban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
52,13500.0,0.2,32000.0,36,0,1,18,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
41,4800.0,0.7,27000.0,60,3,3,9,Salaried,Bachelor,Divorced,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
30,9800.0,0.25,24000.0,48,0,0,7,Salaried,Bachelor,Married,Urban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
64,1900.0,0.97,4000.0,12,9,2,10,Unemployed,High School,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
50,6500.0,0.59,30000.0,60,2,3,11,Self-Employed,Bachelor,Married,Suburban,"My finances can be a bit tight sometimes, but I'm managing everything.",0,neutral,0.7990983724594116,Low,Low Risk
22,1700.0,0.99,6000.0,36,10,1,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
55,14000.0,0.15,35000.0,48,0,0,20,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
47,3500.0,0.8,18000.0,60,5,4,9,Salaried,Diploma,Divorced,Rural,I'm currently unable to meet my debt obligations and am falling further behind.,1,negative,0.968333899974823,High,High Risk
34,8200.0,0.35,20000.0,24,0,1,9,Salaried,Bachelor,Married,Suburban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
60,2300.0,0.91,8000.0,24,8,3,14,Unemployed,Diploma,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
32,4000.0,0.65,25000.0,60,2,3,7,Self-Employed,Bachelor,Single,Urban,"It's a balancing act with my current income, but I'm committed to my financial goals.",0,neutral,0.8223519325256348,Low,Low Risk
53,17000.0,0.12,40000.0,36,0,0,19,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
28,2600.0,0.98,10000.0,36,10,5,4,Student,High School,Single,Suburban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
40,11000.0,0.22,28000.0,36,0,1,13,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
68,1600.0,0.99,3000.0,12,10,2,15,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
39,5000.0,0.77,29000.0,60,5,4,9,Self-Employed,Bachelor,Single,Urban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
51,18000.0,0.1,50000.0,60,0,1,18,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
23,2400.0,0.96,9000.0,48,9,3,1,Student,High School,Single,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
46,6800.0,0.38,20000.0,36,1,2,10,Salaried,Bachelor,Married,Suburban,"I'm working on improving my credit score, but I keep up with payments.",0,positive,0.7940552234649658,Low,Low Risk
61,2000.0,0.85,7000.0,24,7,2,15,Unemployed,Diploma,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
35,4500.0,0.67,26000.0,60,3,3,8,Self-Employed,Diploma,Single,Urban,"Despite my efforts, I'm finding it hard to juggle all my current financial commitments.",1,negative,0.8420806527137756,High,High Risk
56,12000.0,0.17,30000.0,36,0,0,20,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
29,3000.0,0.91,14000.0,48,8,4,5,Salaried,High School,Single,Rural,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
43,7500.0,0.3,22000.0,36,0,1,14,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
67,1800.0,0.94,5000.0,12,9,3,12,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
31,4000.0,0.72,25000.0,60,4,3,6,Self-Employed,Diploma,Divorced,Urban,"Financial stress is high, and I've missed some payments recently.",1,negative,0.9640210866928101,High,High Risk
59,10000.0,0.28,25000.0,24,1,1,19,Salaried,Master,Married,Urban,"With stable employment and careful budgeting, I keep my finances in order.",0,neutral,0.7583054304122925,Low,Low Risk
26,2300.0,0.98,8000.0,36,10,5,3,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
48,16000.0,0.1,45000.0,60,0,1,17,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
65,2200.0,0.89,7000.0,24,7,3,10,Unemployed,Diploma,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
37,7000.0,0.35,18000.0,24,0,1,10,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
30,3200.0,0.9,15000.0,48,8,4,5,Salaried,High School,Single,Urban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
54,19000.0,0.11,49000.0,60,0,1,19,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
21,1600.0,0.99,4000.0,12,10,1,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
41,5500.0,0.7,28000.0,60,3,3,9,Self-Employed,Bachelor,Single,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
63,2500.0,0.82,9000.0,36,6,4,13,Unemployed,Diploma,Divorced,Rural,"My current job isn't providing enough to stay afloat, and I'm deeply concerned.",1,negative,0.8657320737838745,High,High Risk
32,10500.0,0.23,26000.0,36,0,0,8,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
57,7000.0,0.45,13000.0,12,1,2,16,Salaried,Bachelor,Married,Suburban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
27,2800.0,0.96,12000.0,36,9,5,4,Student,Diploma,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
49,17000.0,0.12,42000.0,48,0,1,18,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
69,1500.0,0.99,3000.0,12,10,2,14,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
38,4900.0,0.73,27000.0,60,4,3,8,Salaried,Bachelor,Divorced,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
50,10000.0,0.25,25000.0,36,0,1,16,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
22,1900.0,0.98,7000.0,24,10,2,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
45,6000.0,0.6,32000.0,60,2,3,9,Self-Employed,Bachelor,Married,Suburban,"My finances can be a bit tight sometimes, but I'm managing everything.",0,neutral,0.7990983724594116,Low,Low Risk
60,15000.0,0.13,40000.0,36,0,0,20,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
24,2000.0,0.95,7000.0,24,9,3,2,Student,High School,Single,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
47,3500.0,0.8,18000.0,60,5,4,9,Salaried,Diploma,Divorced,Rural,I'm currently unable to meet my debt obligations and am falling further behind.,1,negative,0.968333899974823,High,High Risk
34,8200.0,0.35,20000.0,24,0,1,9,Salaried,Bachelor,Married,Suburban,I consistently manage my finances well and pay all bills on time.,0,neutral,0.8572981953620911,Low,Low Risk
60,2300.0,0.91,8000.0,24,8,3,14,Unemployed,Diploma,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
32,4000.0,0.65,25000.0,60,2,3,7,Self-Employed,Bachelor,Single,Urban,"It's a balancing act with my current income, but I'm committed to my financial goals.",0,neutral,0.8223519325256348,Low,Low Risk
53,17000.0,0.12,40000.0,36,0,0,19,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
28,2600.0,0.98,10000.0,36,10,5,4,Student,High School,Single,Suburban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
40,11000.0,0.22,28000.0,36,0,1,13,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
68,1600.0,0.99,3000.0,12,10,2,15,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
39,5000.0,0.77,29000.0,60,5,4,9,Self-Employed,Bachelor,Single,Urban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
51,18000.0,0.1,50000.0,60,0,1,18,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
23,2400.0,0.96,9000.0,48,9,3,1,Student,High School,Single,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
46,6800.0,0.38,20000.0,36,1,2,10,Salaried,Bachelor,Married,Suburban,"I'm working on improving my credit score, but I keep up with payments.",0,positive,0.7940552234649658,Low,Low Risk
61,2000.0,0.85,7000.0,24,7,2,15,Unemployed,Diploma,Divorced,Rural,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
35,4500.0,0.67,26000.0,60,3,3,8,Self-Employed,Diploma,Single,Urban,"Despite my efforts, I'm finding it hard to juggle all my current financial commitments.",1,negative,0.8420806527137756,High,High Risk
56,12000.0,0.17,30000.0,36,0,0,20,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
29,3000.0,0.91,14000.0,48,8,4,5,Salaried,High School,Single,Rural,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
43,7500.0,0.3,22000.0,36,0,1,14,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
67,1800.0,0.94,5000.0,12,9,3,12,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
31,4000.0,0.72,25000.0,60,4,3,6,Self-Employed,Diploma,Divorced,Urban,"Financial stress is high, and I've missed some payments recently.",1,negative,0.9640210866928101,High,High Risk
59,10000.0,0.28,25000.0,24,1,1,19,Salaried,Master,Married,Urban,"With stable employment and careful budgeting, I keep my finances in order.",0,neutral,0.7583054304122925,Low,Low Risk
26,2300.0,0.98,8000.0,36,10,5,3,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
48,16000.0,0.1,45000.0,60,0,1,17,Salaried,Master,Married,Urban,My income allows me to comfortably manage all my financial commitments.,0,neutral,0.7160107493400574,Low,Low Risk
65,2200.0,0.89,7000.0,24,7,3,10,Unemployed,Diploma,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
37,7000.0,0.35,18000.0,24,0,1,10,Salaried,Bachelor,Married,Suburban,"I have a good income and low debt, so I'm comfortable with my financial obligations.",0,neutral,0.8417258858680725,Low,Low Risk
30,3200.0,0.9,15000.0,48,8,4,5,Salaried,High School,Single,Urban,"With multiple late payments and high utilization, I'm at a breaking point financially.",1,negative,0.9583114385604858,High,High Risk
54,19000.0,0.11,49000.0,60,0,1,19,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
21,1600.0,0.99,4000.0,12,10,1,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
41,5500.0,0.7,28000.0,60,3,3,9,Self-Employed,Bachelor,Single,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
63,2500.0,0.82,9000.0,36,6,4,13,Unemployed,Diploma,Divorced,Rural,"My current job isn't providing enough to stay afloat, and I'm deeply concerned.",1,negative,0.8657320737838745,High,High Risk
32,10500.0,0.23,26000.0,36,0,0,8,Salaried,Master,Married,Urban,"My financial standing is excellent, allowing me to easily handle any new commitments.",0,positive,0.9014744162559509,Low,Low Risk
57,7000.0,0.45,13000.0,12,1,2,16,Salaried,Bachelor,Married,Suburban,"I've faced some financial challenges, but I'm diligent in meeting my payment deadlines.",0,neutral,0.8381066918373108,Low,Low Risk
27,2800.0,0.96,12000.0,36,9,5,4,Student,Diploma,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
49,17000.0,0.12,42000.0,48,0,1,18,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
69,1500.0,0.99,3000.0,12,10,2,14,Unemployed,High School,Divorced,Rural,My financial situation is dire; I have too much debt and no way to pay it all.,1,negative,0.9458333253860474,High,High Risk
38,4900.0,0.73,27000.0,60,4,3,8,Salaried,Bachelor,Divorced,Suburban,"It's been a tough period, and my financial commitments have become overwhelming.",1,negative,0.9539028406143188,High,High Risk
50,10000.0,0.25,25000.0,36,0,1,16,Salaried,Master,Married,Urban,My financial future feels secure with my current income and low liabilities.,0,neutral,0.5808157324790955,Low,Low Risk
22,1900.0,0.98,7000.0,24,10,2,0,Student,High School,Single,Urban,"My financial struggles are severe, and I see no immediate path to recovery.",1,negative,0.5274717807769775,Medium,Watchlist
